,,,,,,,,,,,,,,
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID,FILE
4C:6E:6E:91:86:79, 2018-07-11 21:21:25, 2018-07-11 21:23:31,1,54, WPA2, CCMP TKIP,PSK,-81,6,0,   0.  0.  0.  0,11, electrinet2,CAP5
4C:5E:0C:34:DB:03, 2018-07-11 21:21:05, 2018-07-11 21:23:31,1,54, WPA2, CCMP,PSK,-87,3,0,   0.  0.  0.  0,0, ,CAP5
C8:3A:35:2B:C7:D0, 2018-07-11 21:20:51, 2018-07-11 21:23:31,5,54, WPA , CCMP,PSK,-88,9,0,   0.  0.  0.  0,8, wifi_meb,CAP5
10:62:EB:23:0B:03, 2018-07-11 21:21:39, 2018-07-11 21:23:31,2,54, WPA2, CCMP TKIP,PSK,-89,2,0,   0.  0.  0.  0,11, WLAN23MMDVM,CAP5
4C:6E:6E:A4:3F:DD, 2018-07-11 21:20:52, 2018-07-11 21:23:17,11,54, WPA2, CCMP TKIP,PSK,-87,6,0,   0.  0.  0.  0,15, Telsur_Victimas,CAP5
62:02:71:58:97:F3, 2018-07-11 21:21:07, 2018-07-11 21:23:17,9,54, WPA2WPA , CCMP,PSK,-87,3,0,   0.  0.  0.  0,15, wifitelsur_MCCA,CAP5
00:1D:2E:6A:AD:B1, 2018-07-11 21:21:06, 2018-07-11 21:23:17,6,54, WPA2, CCMP,PSK,-88,6,0,   0.  0.  0.  0,12, Wifi_Espana1,CAP5
68:72:51:5E:70:8B, 2018-07-11 21:21:06, 2018-07-11 21:23:18,13,54, WPA2, CCMP,PSK,-90,4,0,   0.  0.  0.  0,12, Melillanca 3,CAP5
00:18:39:71:F8:8E, 2018-07-11 21:21:06, 2018-07-11 21:23:17,6,54, WPA , TKIP,PSK,-91,3,0,   0.  0.  0.  0,18, Melillanca 210-220,CAP5
50:17:FF:F4:21:64, 2018-07-11 21:20:51, 2018-07-11 21:22:57,1,54, WPA2, CCMP,PSK,-85,6,0,   0.  0.  0.  0,3, VIP,CAP5
50:17:FF:F4:21:63, 2018-07-11 21:21:25, 2018-07-11 21:22:57,1,54, WPA2, CCMP,PSK,-86,3,0,   0.  0.  0.  0,8, WLAN_LAN,CAP5
84:4B:F5:AC:42:82, 2018-07-11 21:22:09, 2018-07-11 21:22:57,6,54, OPN ,       ,   ,-88,3,0,   0.  0.  0.  0,25, HP-Print-82-LaserJet 1102,CAP5
FC:3F:DB:78:7B:49, 2018-07-11 21:21:06, 2018-07-11 21:22:57,6,54, WPA2, CCMP,PSK,-91,2,0,   0.  0.  0.  0,30, HP-Print-49-Officejet Pro 8620,CAP5
00:1D:2E:63:B0:61, 2018-07-11 21:22:09, 2018-07-11 21:22:29,11,54, WPA2, TKIP,PSK,-91,2,0,   0.  0.  0.  0,25, wifitelsur_LA FRATERNIDAD,CAP5
90:F6:52:BD:54:8A, 2018-07-11 21:20:51, 2018-07-11 21:21:07,2,54, WPA2WPA , CCMP,PSK,-88,1,0,   0.  0.  0.  0,8, Tecnicos,CAP5
44:D9:E7:E2:07:20, 2018-07-11 21:21:05, 2018-07-11 21:21:10,1,54, OPN ,       ,   ,-89,2,0,   0.  0.  0.  0,13, SmartValdivia,CAP5
84:4B:F5:AB:F8:2C, 2018-07-11 21:21:06, 2018-07-11 21:21:06,6,54, OPN ,       ,   ,-89,2,0,   0.  0.  0.  0,25, HP-Print-2C-LaserJet 1102,CAP5
00:25:C4:53:0A:11, 2018-07-11 21:21:06, 2018-07-11 21:21:25,6,54, WEP , WEP,   ,-82,2,0,   0.  0.  0.  0,16, wifitelsur_AYGSM,CAP5
00:25:C4:13:0A:11, 2018-07-11 21:20:51, 2018-07-11 21:21:54,6,54, WPA , TKIP,PSK,-86,4,0,   0.  0.  0.  0,0, ,CAP5
50:C7:BF:29:0F:98, 2018-07-11 21:20:51, 2018-07-11 21:22:13,2,54, WPA2WPA , CCMP,PSK,-90,2,0,   0.  0.  0.  0,3, AHC,CAP5
D0:C7:89:CD:C8:E0, 2018-07-11 21:22:28, 2018-07-11 21:22:42,1,54, WPA2, CCMP, MGT,-89,2,0,   0.  0.  0.  0,17, UNOSALUD-CLINICAS,CAP5
D4:68:4D:24:5F:18, 2018-07-11 21:22:14, 2018-07-11 21:23:13,11,54, OPN ,       ,   ,-81,1,0,   0.  0.  0.  0,7, Alumnos,CAP5
D4:68:4D:24:5F:19, 2018-07-11 21:23:13, 2018-07-11 21:23:13,11,54, WPA2, CCMP,PSK,-79,0,0,   0.  0.  0.  0,3, PDV,CAP5
64:70:02:64:D4:AF, 2018-07-11 21:21:07, 2018-07-11 21:23:13,6,54, WPA2WPA , CCMP TKIP,PSK,-73,0,0,   0.  0.  0.  0,8, WIFI-SSV,CAP5
44:32:C8:9A:B7:C6, 2018-07-11 21:22:58, 2018-07-11 21:23:32,11,54, WPA , CCMP TKIP,PSK,-87,3,0,   0.  0.  0.  0,12, emilio_frias,CAP5
24:EC:99:E5:94:15, 2018-07-11 21:21:07, 2018-07-11 21:23:45,1,54, WPA2, CCMP,PSK,-87,1,0,   0.  0.  0.  0,10, CLARO_b2e2,CAP5
4C:6E:6E:9A:DA:8E, 2018-07-11 21:21:05, 2018-07-11 21:23:46,4,54, WPA2, CCMP TKIP,PSK,-87,11,0,   0.  0.  0.  0,15, WifiTelsur_DA8D,CAP5
50:17:FF:F4:21:62, 2018-07-11 21:21:05, 2018-07-11 21:23:45,1,54, WPA2, CCMP,PSK,-86,3,0,   0.  0.  0.  0,15, HTZ Antofagasta,CAP5
84:B5:17:3D:A0:71, 2018-07-11 21:22:57, 2018-07-11 21:23:45,1,54, OPN ,       ,   ,-86,3,0,   0.  0.  0.  0,6, Visita,CAP5
D0:C7:89:CD:C8:E2, 2018-07-11 21:23:16, 2018-07-11 21:24:00,1,54, OPN ,       ,   ,-89,2,0,   0.  0.  0.  0,18, UNOSALUD-PACIENTES,CAP5
00:14:A5:C5:94:C9, 2018-07-11 21:21:05, 2018-07-11 21:24:00,4,54, WPA , TKIP,PSK,-89,9,0,   0.  0.  0.  0,21, FamiliaRosasBahamonde,CAP5
50:17:FF:F4:21:65, 2018-07-11 21:21:05, 2018-07-11 21:24:00,1,54, WPA2, CCMP,PSK,-87,5,0,   0.  0.  0.  0,14, CLIENTES_HERTZ,CAP5
00:21:29:C2:F8:B2, 2018-07-11 21:21:06, 2018-07-11 21:24:00,7,54, WPA , TKIP,PSK,-87,5,0,   0.  0.  0.  0,17, Bar Los Avellanos,CAP5
70:18:8B:A1:2C:63, 2018-07-11 21:23:32, 2018-07-11 21:24:01,11,54, OPN ,       ,   ,-86,2,0,   0.  0.  0.  0,25, HP-Print-63-LaserJet 1102,CAP5
34:57:60:7B:79:A8, 2018-07-11 21:20:52, 2018-07-11 21:24:01,11,54, WPA2, CCMP,PSK,-86,6,0,   0.  0.  0.  0,6, CAIMAN,CAP5
50:17:FF:F4:21:61, 2018-07-11 21:20:51, 2018-07-11 21:24:00,1,54, WPA2, CCMP,PSK,-86,8,0,   0.  0.  0.  0,9, WLAN_PROD,CAP5
