,,,,,,,,,,,,,,
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID,FILE
22:26:18:52:1A:0B, 2018-07-11 21:47:54, 2018-07-11 21:50:34,1,54, WPA , CCMP TKIP,PSK,-72,24,0,   0.  0.  0.  0,11, Telsur_CRPS,CAP10
4E:6E:6E:98:08:8F, 2018-07-11 21:47:54, 2018-07-11 21:50:34,3,54, WPA2, CCMP,PSK,-86,7,0,   0.  0.  0.  0,4, Home,CAP10
FC:2D:5E:CE:48:22, 2018-07-11 21:47:54, 2018-07-11 21:50:34,1,54, WPA2, CCMP,PSK,-88,13,0,   0.  0.  0.  0,10, WOM-CE4822,CAP10
E2:55:C4:65:FF:E4, 2018-07-11 21:48:23, 2018-07-11 21:50:34,1,54, WPA2, CCMP TKIP,PSK,-90,5,0,   0.  0.  0.  0,18, Wiftelsur_AgustinA,CAP10
4C:6E:6E:91:86:79, 2018-07-11 21:48:25, 2018-07-11 21:50:00,1,54, WPA2, CCMP TKIP,PSK,-87,4,0,   0.  0.  0.  0,11, electrinet2,CAP10
4C:6E:6E:A3:F7:3D, 2018-07-11 21:48:29, 2018-07-11 21:49:12,6,54, WPA2, CCMP TKIP,PSK,-90,2,0,   0.  0.  0.  0,16, WifiTelsur_EIFSS,CAP10
58:98:35:11:A9:44, 2018-07-11 21:48:08, 2018-07-11 21:48:23,1,54, WEP , WEP,   ,-91,2,0,   0.  0.  0.  0,12, FAM.N.CARD.1,CAP10
4C:6E:6E:9B:3B:89, 2018-07-11 21:48:58, 2018-07-11 21:49:47,11,54, WPA2, CCMP TKIP,PSK,-90,5,0,   0.  0.  0.  0,16, WifiTelsur_HHBY2,CAP10
00:19:E0:97:6E:1C, 2018-07-11 21:48:29, 2018-07-11 21:50:29,6,11, WEP , WEP,   ,-92,2,0,   0.  0.  0.  0,11, Rodrigo red,CAP10
48:D3:43:8B:13:D9, 2018-07-11 21:50:01, 2018-07-11 21:50:29,6,54, WPA2, CCMP,PSK,-90,2,0,   0.  0.  0.  0,8, NORA....,CAP10
00:07:26:16:89:1B, 2018-07-11 21:48:09, 2018-07-11 21:50:49,8,54, WPA2WPA , CCMP,PSK,-90,6,0,   0.  0.  0.  0,16, la_cava_del_buho,CAP10
4C:6E:6E:A4:30:AD, 2018-07-11 21:48:10, 2018-07-11 21:50:50,11,54, WPA2, CCMP TKIP,PSK,-88,8,0,   0.  0.  0.  0,11, Telsur_WIFI,CAP10
82:2A:A8:A1:76:3F, 2018-07-11 21:47:55, 2018-07-11 21:50:49,6,54, WPA2, CCMP,PSK,-88,13,0,   0.  0.  0.  0,14, PUNTO CREATIVO,CAP10
D4:05:98:60:F6:C0, 2018-07-11 21:48:24, 2018-07-11 21:50:50,9,54, WPA2, CCMP,PSK,-86,9,0,   0.  0.  0.  0,5, GOMEZ,CAP10
