,,,,,,,,,,,,,,
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID,FILE
60:83:34:0F:C7:95, 2018-07-11 21:36:22, 2018-07-11 21:40:05,11,54, WPA2, CCMP,PSK,-86,13,0,   0.  0.  0.  0,14, ,CAP8
68:72:51:5E:70:8B, 2018-07-11 21:36:22, 2018-07-11 21:40:00,13,54, WPA2, CCMP,PSK,-86,20,0,   0.  0.  0.  0,12, Melillanca 3,CAP8
4C:6E:6E:9B:3B:8A, 2018-07-11 21:36:37, 2018-07-11 21:40:06,36,54, WPA2, CCMP TKIP,PSK,-86,16,0,   0.  0.  0.  0,19, WifiTelsur_5G_HHBY2,CAP8
4C:6E:6E:98:08:8F, 2018-07-11 21:36:21, 2018-07-11 21:40:04,3,54, WPA2, CCMP TKIP,PSK,-85,19,0,   0.  0.  0.  0,15, canelos CLIENTE,CAP8
00:FE:C8:C8:35:65, 2018-07-11 21:36:37, 2018-07-11 21:40:05,11,54, WPA2WPA , CCMP,PSK,-85,11,0,   0.  0.  0.  0,12, Capacitacion,CAP8
62:02:71:67:C8:9C, 2018-07-11 21:36:22, 2018-07-11 21:40:05,9,54, WPA2WPA , CCMP,PSK,-84,23,0,   0.  0.  0.  0,7, CLINICA,CAP8
00:FE:C8:C8:35:63, 2018-07-11 21:37:40, 2018-07-11 21:40:02,11,54, OPN ,       ,   ,-84,6,0,   0.  0.  0.  0,7, VISITAS,CAP8
E8:DE:27:8F:07:72, 2018-07-11 21:36:22, 2018-07-11 21:40:01,9,54, WPA2WPA , CCMP,PSK,-84,10,0,   0.  0.  0.  0,17, ninakohlyakimovae,CAP8
00:FE:C8:C8:35:62, 2018-07-11 21:36:56, 2018-07-11 21:40:05,11,54, WPA2WPA , CCMP, MGT,-84,14,0,   0.  0.  0.  0,11, CORPORATIVA,CAP8
4C:6E:6E:91:8E:7B, 2018-07-11 21:36:50, 2018-07-11 21:39:59,1,54, WPA2, CCMP TKIP,PSK,-83,12,0,   0.  0.  0.  0,13, 404_Not_Found,CAP8
