,,,,,,,,,,,,,,
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID,FILE
4C:6E:6E:A7:C8:56, 2018-07-11 21:18:27, 2018-07-11 21:18:56,11,54, WPA2, CCMP TKIP,PSK,-85,3,0,   0.  0.  0.  0,18, Boutique Antonella,CAP4
D0:C7:89:CD:C8:E0, 2018-07-11 21:17:24, 2018-07-11 21:18:55,1,54, WPA2, CCMP, MGT,-89,2,0,   0.  0.  0.  0,17, UNOSALUD-CLINICAS,CAP4
9C:97:26:08:81:66, 2018-07-11 21:16:55, 2018-07-11 21:18:08,1,54, WPA2WPA , CCMP TKIP,PSK,-87,2,0,   0.  0.  0.  0,17, wifitelsur_GLENDA,CAP4
A4:15:88:D6:FF:60, 2018-07-11 21:17:10, 2018-07-11 21:17:58,6,54, WPA2, CCMP,PSK,-88,3,0,   0.  0.  0.  0,12, Buscando....,CAP4
44:D9:E7:E1:5D:C0, 2018-07-11 21:16:56, 2018-07-11 21:17:10,6,54, OPN ,       ,   ,-85,3,0,   0.  0.  0.  0,13, SmartValdivia,CAP4
20:CD:39:81:87:BB, 2018-07-11 21:16:56, 2018-07-11 21:17:11,11,54, WPA2, CCMP,PSK,-82,2,0,   0.  0.  0.  0,0, ,CAP4
00:25:C4:17:69:A1, 2018-07-11 21:16:56, 2018-07-11 21:18:41,6,54, WEP , WEP,   ,-87,8,0,   0.  0.  0.  0,11, Red_Interna,CAP4
70:18:8B:A1:2C:63, 2018-07-11 21:16:52, 2018-07-11 21:18:41,11,54, OPN ,       ,   ,-85,5,0,   0.  0.  0.  0,25, HP-Print-63-LaserJet 1102,CAP4
D0:C7:89:CD:C8:E2, 2018-07-11 21:17:10, 2018-07-11 21:19:04,1,54, OPN ,       ,   ,-91,2,0,   0.  0.  0.  0,18, UNOSALUD-PACIENTES,CAP4
D0:C7:89:CD:C8:E1, 2018-07-11 21:18:55, 2018-07-11 21:19:04,1,54, WPA2, CCMP, MGT,-88,2,0,   0.  0.  0.  0,18, UNOSALUD-COMERCIAL,CAP4
64:70:02:64:D4:AF, 2018-07-11 21:16:52, 2018-07-11 21:19:01,6,54, WPA2WPA , CCMP TKIP,PSK,-76,0,0,   0.  0.  0.  0,8, WIFI-SSV,CAP4
D4:68:4D:24:5C:DD, 2018-07-11 21:16:53, 2018-07-11 21:19:50,48,54, WPA2, CCMP,PSK,-83,13,0,   0.  0.  0.  0,3, PDV,CAP4
68:72:51:5E:70:8B, 2018-07-11 21:17:11, 2018-07-11 21:19:49,13,54, WPA2, CCMP,PSK,-91,5,0,   0.  0.  0.  0,12, Melillanca 3,CAP4
C8:3A:35:2B:C7:D0, 2018-07-11 21:16:52, 2018-07-11 21:19:48,5,54, WPA , CCMP,PSK,-90,15,0,   0.  0.  0.  0,8, wifi_meb,CAP4
48:F8:B3:22:4D:66, 2018-07-11 21:18:26, 2018-07-11 21:19:48,6,54, OPN ,       ,   ,-89,2,0,   0.  0.  0.  0,11, ,CAP4
94:0C:6D:F6:91:5E, 2018-07-11 21:17:28, 2018-07-11 21:19:33,1,54, OPN ,       ,   ,-88,2,0,   0.  0.  0.  0,14, TP-LINK_F6915E,CAP4
