Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;Telsur_CRPS;22:26:18:52:1A:0B;;1;No;WPA,AES-CCM,TKIP;No;54.0;0;24;0;0;0;0;0;;;Wed Jul 11 21:47:54 2018;Wed Jul 11 21:50:34 2018;-72;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;Home;4E:6E:6E:98:08:8F;;3;No;WPA2,AES-CCM;No;54.0;0;7;0;0;0;0;0;;;Wed Jul 11 21:47:54 2018;Wed Jul 11 21:50:34 2018;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;WOM-CE4822;FC:2D:5E:CE:48:22;;1;No;WPA2,AES-CCM;No;54.0;0;13;0;0;0;0;0;;;Wed Jul 11 21:47:54 2018;Wed Jul 11 21:50:34 2018;-88;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;Wiftelsur_AgustinA;E2:55:C4:65:FF:E4;;1;No;WPA2,AES-CCM,TKIP;No;54.0;0;5;0;0;0;0;0;;;Wed Jul 11 21:48:23 2018;Wed Jul 11 21:50:34 2018;-90;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;electrinet2;4C:6E:6E:91:86:79;;1;No;WPA2,AES-CCM,TKIP;No;54.0;0;4;0;0;0;0;0;;;Wed Jul 11 21:48:25 2018;Wed Jul 11 21:50:00 2018;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;WifiTelsur_EIFSS;4C:6E:6E:A3:F7:3D;;6;No;WPA2,AES-CCM,TKIP;No;54.0;0;2;0;0;0;0;0;;;Wed Jul 11 21:48:29 2018;Wed Jul 11 21:49:12 2018;-90;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;FAM.N.CARD.1;58:98:35:11:A9:44;;1;No;WEP;No;54.0;0;2;0;0;0;0;0;;;Wed Jul 11 21:48:08 2018;Wed Jul 11 21:48:23 2018;-91;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;WifiTelsur_HHBY2;4C:6E:6E:9B:3B:89;;11;No;WPA2,AES-CCM,TKIP;No;54.0;0;5;0;0;0;0;0;;;Wed Jul 11 21:48:58 2018;Wed Jul 11 21:49:47 2018;-90;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;Rodrigo red;00:19:E0:97:6E:1C;;6;No;WEP;No;11.0;0;2;0;0;0;0;0;;;Wed Jul 11 21:48:29 2018;Wed Jul 11 21:50:29 2018;-92;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;NORA....;48:D3:43:8B:13:D9;;6;No;WPA2,AES-CCM;No;54.0;0;2;0;0;0;0;0;;;Wed Jul 11 21:50:01 2018;Wed Jul 11 21:50:29 2018;-90;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
