Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
17;infrastructure;Melillanca2;00:27:22:AC:4E:B8;;1;No;WPA2,AES-CCM,TKIP;No;54.0;0;5;0;0;0;0;0;;;Wed Jul 11 21:12:25 2018;Wed Jul 11 21:14:46 2018;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
18;infrastructure;xiaomi 2.4G2;EC:1F:72:08:3E:0E;;6;No;WPA2,AES-CCM;No;54.0;0;2;0;0;0;0;0;;;Wed Jul 11 21:14:32 2018;Wed Jul 11 21:14:46 2018;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
19;infrastructure;electrinet2;4C:6E:6E:91:86:79;;1;No;WPA2,AES-CCM,TKIP;No;54.0;0;5;0;0;0;0;0;;;Wed Jul 11 21:12:40 2018;Wed Jul 11 21:15:05 2018;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
20;infrastructure;HTZ Antofagasta;50:17:FF:F4:21:62;;1;No;WPA2,AES-CCM;No;54.0;0;9;0;0;0;0;0;;;Wed Jul 11 21:12:39 2018;Wed Jul 11 21:15:19 2018;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
21;infrastructure;WLAN_LAN;50:17:FF:F4:21:63;;1;No;WPA2,AES-CCM;No;54.0;0;8;0;0;0;0;0;;;Wed Jul 11 21:12:11 2018;Wed Jul 11 21:15:19 2018;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
22;infrastructure;wifi_BlancoNB;E0:8E:3C:2C:07:9E;;1;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;10;0;0;0;0;0;;;Wed Jul 11 21:12:59 2018;Wed Jul 11 21:15:20 2018;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
23;infrastructure;WLAN_PROD;50:17:FF:F4:21:61;;1;No;WPA2,AES-CCM;No;54.0;0;8;0;0;0;0;0;;;Wed Jul 11 21:12:39 2018;Wed Jul 11 21:15:20 2018;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
24;infrastructure;CLIENTES_HERTZ;50:17:FF:F4:21:65;;1;No;WPA2,AES-CCM;No;54.0;0;7;0;0;0;0;0;;;Wed Jul 11 21:12:59 2018;Wed Jul 11 21:15:05 2018;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
25;infrastructure;cabana_1;4C:6E:6E:A0:E2:43;;10;No;WPA2,AES-CCM,TKIP;No;54.0;0;11;0;0;0;0;0;;;Wed Jul 11 21:12:12 2018;Wed Jul 11 21:15:21 2018;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
26;infrastructure;Wifi123;E2:9A:DA:58:06:F5;;1;No;WPA2,AES-CCM,TKIP;No;54.0;0;6;0;0;0;0;0;;;Wed Jul 11 21:12:25 2018;Wed Jul 11 21:15:19 2018;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
