,,,,,,,,,,,,,,
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID,FILE
D4:68:4D:24:5C:D8, 2018-07-11 21:12:54, 2018-07-11 21:15:02,1,54, OPN ,       ,   ,-75,1,0,   0.  0.  0.  0,7, Alumnos,CAP3
D4:68:4D:24:5C:D9, 2018-07-11 21:13:59, 2018-07-11 21:15:02,1,54, WPA2, CCMP,PSK,-75,0,0,   0.  0.  0.  0,3, PDV,CAP3
C4:8E:8F:D7:01:71, 2018-07-11 21:12:11, 2018-07-11 21:15:00,6,54, OPN ,       ,   ,-77,22,0,   0.  0.  0.  0,25, HP-Print-71-LaserJet 1102,CAP3
50:17:FF:F4:21:64, 2018-07-11 21:12:25, 2018-07-11 21:15:00,1,54, WPA2, CCMP,PSK,-86,8,0,   0.  0.  0.  0,3, VIP,CAP3
50:C7:BF:29:16:B0, 2018-07-11 21:12:11, 2018-07-11 21:15:00,1,54, WPA2WPA , CCMP,PSK,-86,6,0,   0.  0.  0.  0,12, Hotel P4 - 2,CAP3
A4:15:88:E4:5E:70, 2018-07-11 21:12:11, 2018-07-11 21:14:32,6,54, WPA2, CCMP,PSK,-81,4,0,   0.  0.  0.  0,8, VIRGINIA,CAP3
D0:C7:89:CD:C8:E0, 2018-07-11 21:13:57, 2018-07-11 21:14:31,1,54, WPA2, CCMP, MGT,-89,3,0,   0.  0.  0.  0,17, UNOSALUD-CLINICAS,CAP3
F4:F2:6D:6E:12:06, 2018-07-11 21:12:40, 2018-07-11 21:14:31,3,54, WPA2, CCMP,PSK,-90,6,0,   0.  0.  0.  0,10, Hotel P3-1,CAP3
70:18:8B:A1:2C:63, 2018-07-11 21:12:12, 2018-07-11 21:14:03,11,54, OPN ,       ,   ,-82,8,0,   0.  0.  0.  0,25, HP-Print-63-LaserJet 1102,CAP3
62:02:71:7B:FA:51, 2018-07-11 21:13:43, 2018-07-11 21:14:03,9,54, WPA2WPA , CCMP,PSK,-84,2,0,   0.  0.  0.  0,15, WifiTelsur_NOMA,CAP3
48:D3:43:60:14:E1, 2018-07-11 21:12:11, 2018-07-11 21:13:43,6,54, WPA2WPA , CCMP TKIP,PSK,-89,3,0,   0.  0.  0.  0,11, VTR-7259770,CAP3
72:02:71:74:DC:56, 2018-07-11 21:12:11, 2018-07-11 21:12:25,2,54, WPA2WPA , CCMP,PSK,-87,2,0,   0.  0.  0.  0,14, WIFI_TELSUR_AN,CAP3
00:1D:2E:6A:AD:B1, 2018-07-11 21:12:55, 2018-07-11 21:13:28,6,54, WPA2, CCMP,PSK,-86,3,0,   0.  0.  0.  0,12, Wifi_Espana1,CAP3
4C:6E:6E:A8:43:4D, 2018-07-11 21:12:25, 2018-07-11 21:14:16,1,54, WPA2, CCMP TKIP,PSK,-90,2,0,   0.  0.  0.  0,19, wifitelsur_lacasita,CAP3
4C:6E:6E:A4:3F:DD, 2018-07-11 21:12:12, 2018-07-11 21:14:18,11,54, WPA2, CCMP TKIP,PSK,-82,6,0,   0.  0.  0.  0,15, Telsur_Victimas,CAP3
4C:6E:6E:A3:F7:3D, 2018-07-11 21:13:00, 2018-07-11 21:14:46,6,54, WPA2, CCMP TKIP,PSK,-87,2,0,   0.  0.  0.  0,16, WifiTelsur_EIFSS,CAP3
00:27:22:AC:4E:B8, 2018-07-11 21:12:25, 2018-07-11 21:14:46,1,54, WPA2, CCMP TKIP,PSK,-87,5,0,   0.  0.  0.  0,11, Melillanca2,CAP3
EC:1F:72:08:3E:0E, 2018-07-11 21:14:32, 2018-07-11 21:14:46,6,54, WPA2, CCMP,PSK,-87,2,0,   0.  0.  0.  0,12, xiaomi 2.4G2,CAP3
4C:6E:6E:91:86:79, 2018-07-11 21:12:40, 2018-07-11 21:15:05,1,54, WPA2, CCMP TKIP,PSK,-86,5,0,   0.  0.  0.  0,11, electrinet2,CAP3
50:17:FF:F4:21:62, 2018-07-11 21:12:39, 2018-07-11 21:15:19,1,54, WPA2, CCMP,PSK,-86,9,0,   0.  0.  0.  0,15, HTZ Antofagasta,CAP3
50:17:FF:F4:21:63, 2018-07-11 21:12:11, 2018-07-11 21:15:19,1,54, WPA2, CCMP,PSK,-86,8,0,   0.  0.  0.  0,8, WLAN_LAN,CAP3
E0:8E:3C:2C:07:9E, 2018-07-11 21:12:59, 2018-07-11 21:15:20,1,54, WPA2WPA , CCMP TKIP,PSK,-86,10,0,   0.  0.  0.  0,13, wifi_BlancoNB,CAP3
50:17:FF:F4:21:61, 2018-07-11 21:12:39, 2018-07-11 21:15:20,1,54, WPA2, CCMP,PSK,-86,8,0,   0.  0.  0.  0,9, WLAN_PROD,CAP3
50:17:FF:F4:21:65, 2018-07-11 21:12:59, 2018-07-11 21:15:05,1,54, WPA2, CCMP,PSK,-85,7,0,   0.  0.  0.  0,14, CLIENTES_HERTZ,CAP3
4C:6E:6E:A0:E2:43, 2018-07-11 21:12:12, 2018-07-11 21:15:21,10,54, WPA2, CCMP TKIP,PSK,-84,11,0,   0.  0.  0.  0,8, cabana_1,CAP3
E2:9A:DA:58:06:F5, 2018-07-11 21:12:25, 2018-07-11 21:15:19,1,54, WPA2, CCMP TKIP,PSK,-84,6,0,   0.  0.  0.  0,7, Wifi123,CAP3
C0:05:C2:A0:FB:51, 2018-07-11 21:12:11, 2018-07-11 21:15:20,6,54, WPA2WPA , CCMP TKIP,PSK,-84,21,0,   0.  0.  0.  0,11, VTR-1827716,CAP3
6A:02:71:79:5F:28, 2018-07-11 21:12:11, 2018-07-11 21:15:05,1,54, WPA2WPA , CCMP,PSK,-84,8,0,   0.  0.  0.  0,8, Cabana-1,CAP3
D4:68:4D:24:5F:1D, 2018-07-11 21:13:03, 2018-07-11 21:15:24,157,54, WPA2, CCMP,PSK,-84,11,0,   0.  0.  0.  0,3, PDV,CAP3
00:25:C4:17:69:A1, 2018-07-11 21:12:11, 2018-07-11 21:15:20,6,54, WEP , WEP,   ,-83,20,0,   0.  0.  0.  0,11, Red_Interna,CAP3
D4:68:4D:24:5F:1C, 2018-07-11 21:12:29, 2018-07-11 21:15:24,157,54, OPN ,       ,   ,-83,13,0,   0.  0.  0.  0,7, Alumnos,CAP3
4C:6E:6E:98:08:8F, 2018-07-11 21:12:11, 2018-07-11 21:15:20,3,54, WPA2, CCMP TKIP,PSK,-82,20,0,   0.  0.  0.  0,15, canelos CLIENTE,CAP3
50:C7:BF:29:0F:98, 2018-07-11 21:12:59, 2018-07-11 21:15:20,2,54, WPA2WPA , CCMP,PSK,-82,11,0,   0.  0.  0.  0,3, AHC,CAP3
00:0F:60:08:AA:0A, 2018-07-11 21:12:41, 2018-07-11 21:15:21,11,54, WPA2, CCMP,PSK,-82,16,0,   0.  0.  0.  0,19, EMn-9ef88e-10-14102,CAP3
4E:6E:6E:98:08:8F, 2018-07-11 21:12:11, 2018-07-11 21:15:20,3,54, WPA2, CCMP,PSK,-82,14,0,   0.  0.  0.  0,4, Home,CAP3
00:25:C4:4C:53:21, 2018-07-11 21:12:12, 2018-07-11 21:15:06,11,54, WPA , TKIP,PSK,-82,6,0,   0.  0.  0.  0,9, Wifi_DNRV,CAP3
00:1A:30:33:2F:F0, 2018-07-11 21:12:40, 2018-07-11 21:15:06,7,54, WPA , TKIP, MGT,-81,7,0,   0.  0.  0.  0,5, APCCU,CAP3
44:D9:E7:E0:DA:20, 2018-07-11 21:12:11, 2018-07-11 21:15:20,1,54, OPN ,       ,   ,-81,14,0,   0.  0.  0.  0,17, ConoceValdivia.cl,CAP3
4C:6E:6E:9A:DA:8E, 2018-07-11 21:12:11, 2018-07-11 21:15:20,4,54, WPA2, CCMP TKIP,PSK,-80,21,0,   0.  0.  0.  0,15, WifiTelsur_DA8D,CAP3
44:D9:E7:E1:5D:C0, 2018-07-11 21:12:26, 2018-07-11 21:15:20,6,54, OPN ,       ,   ,-79,20,0,   0.  0.  0.  0,13, SmartValdivia,CAP3
E8:DE:27:6F:E5:F9, 2018-07-11 21:12:12, 2018-07-11 21:15:21,11,54, WPA2, CCMP TKIP,PSK,-78,20,0,   0.  0.  0.  0,15, Wifi_SEREMI_XIV,CAP3
82:4C:4B:67:D8:91, 2018-07-11 21:12:12, 2018-07-11 21:15:21,11,54, WPA2, CCMP TKIP,PSK,-78,12,0,   0.  0.  0.  0,14, SHELL_ALEMANIA,CAP3
D4:68:4D:24:5C:DC, 2018-07-11 21:12:12, 2018-07-11 21:15:21,48,54, OPN ,       ,   ,-78,17,0,   0.  0.  0.  0,7, Alumnos,CAP3
D4:68:4D:24:5C:DD, 2018-07-11 21:12:12, 2018-07-11 21:15:21,48,54, WPA2, CCMP,PSK,-78,17,0,   0.  0.  0.  0,3, PDV,CAP3
D4:68:4D:24:5F:18, 2018-07-11 21:12:12, 2018-07-11 21:15:21,11,54, OPN ,       ,   ,-77,4,0,   0.  0.  0.  0,7, Alumnos,CAP3
84:4B:F5:AB:F8:2C, 2018-07-11 21:12:11, 2018-07-11 21:15:20,6,54, OPN ,       ,   ,-77,8,0,   0.  0.  0.  0,25, HP-Print-2C-LaserJet 1102,CAP3
40:70:09:61:3D:E0, 2018-07-11 21:12:26, 2018-07-11 21:15:21,11,54, WPA2, CCMP,PSK,-77,16,0,   0.  0.  0.  0,7, CELESTE,CAP3
D4:68:4D:24:5F:19, 2018-07-11 21:12:12, 2018-07-11 21:15:06,11,54, WPA2, CCMP,PSK,-76,4,0,   0.  0.  0.  0,3, PDV,CAP3
AC:84:C6:47:51:F6, 2018-07-11 21:12:26, 2018-07-11 21:15:20,6,54, WPA2, CCMP TKIP,PSK,-76,20,0,   0.  0.  0.  0,11, Casa Centro,CAP3
00:27:22:3E:BB:D7, 2018-07-11 21:12:40, 2018-07-11 21:15:20,1,54, WPA2, CCMP TKIP,PSK,-75,13,0,   0.  0.  0.  0,11, Melillanca1,CAP3
40:70:09:61:3D:E5, 2018-07-11 21:12:13, 2018-07-11 21:15:21,48,54, WPA2, CCMP,PSK,-74,18,0,   0.  0.  0.  0,10, CELESTE-5G,CAP3
82:6D:1A:ED:83:94, 2018-07-11 21:12:11, 2018-07-11 21:15:20,1,54, WPA2, CCMP TKIP,PSK,-61,33,0,   0.  0.  0.  0,4, Wifi,CAP3
,,,,,,,,,,,,,,
Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs,,,,,,,,
