Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;wifi_cabana;4C:6E:6E:9C:F6:3A;;5;No;WPA2,AES-CCM,TKIP;No;54.0;0;16;0;0;0;0;0;;;Wed Jul 11 21:04:30 2018;Wed Jul 11 21:06:49 2018;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;Hotel P3-1;F4:F2:6D:6E:12:06;;3;No;WPA2,AES-CCM;No;54.0;0;3;0;0;0;0;0;;;Wed Jul 11 21:06:20 2018;Wed Jul 11 21:06:35 2018;-88;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;VTR-1827716;C0:05:C2:A0:FB:57;;149;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;6;0;0;0;0;0;;;Wed Jul 11 21:04:33 2018;Wed Jul 11 21:06:05 2018;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;VIRGINIA;A4:15:88:E4:5E:70;;6;No;WPA2,AES-CCM;No;54.0;0;3;0;0;0;0;0;;;Wed Jul 11 21:04:30 2018;Wed Jul 11 21:06:06 2018;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;Punto Creativo visitas;92:2A:A8:A1:76:3F;;6;No;OPN,None;No;54.0;0;2;0;0;0;0;0;;;Wed Jul 11 21:04:45 2018;Wed Jul 11 21:06:06 2018;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;Zona_ChileGob;2A:A4:3C:4F:1E:9C;;6;No;OPN,None;No;54.0;0;2;0;0;0;0;0;;;Wed Jul 11 21:05:42 2018;Wed Jul 11 21:06:06 2018;-91;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;PLUS12;7A:8A:20:85:29:66;;36;No;WPA2,AES-CCM;No;54.0;0;4;0;0;0;0;0;;;Wed Jul 11 21:05:28 2018;Wed Jul 11 21:05:57 2018;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;TELETRACK;C8:3F:B4:98:0F:80;;1;No;WPA2,AES-CCM;No;54.0;0;2;0;0;0;0;0;;;Wed Jul 11 21:04:29 2018;Wed Jul 11 21:05:27 2018;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;STEFANY86;14:CF:E2:97:84:D0;;6;No;WPA2,AES-CCM;No;54.0;0;2;0;0;0;0;0;;;Wed Jul 11 21:04:59 2018;Wed Jul 11 21:05:13 2018;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;WifiTelsur_DA8D;4C:6E:6E:9A:DA:8E;;4;No;WPA2,AES-CCM,TKIP;No;54.0;0;7;0;0;0;0;0;;;Wed Jul 11 21:04:30 2018;Wed Jul 11 21:05:42 2018;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
