,,,,,,,,,,,,,,
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID,FILE
14:CF:E2:97:84:D0, 2018-07-11 21:52:55, 2018-07-11 21:54:41,6,54, WPA2, CCMP,PSK,-85,3,0,   0.  0.  0.  0,9, STEFANY86,CAP11
C0:05:C2:DD:3B:01, 2018-07-11 21:52:06, 2018-07-11 21:54:41,6,54, WPA2WPA , CCMP TKIP,PSK,-86,7,0,   0.  0.  0.  0,11, VTR-7067395,CAP11
90:F6:52:63:49:D4, 2018-07-11 21:52:55, 2018-07-11 21:54:41,6,54, WPA2WPA , CCMP,PSK,-91,2,0,   0.  0.  0.  0,9, C_MONTORY,CAP11
4C:6E:6E:91:86:79, 2018-07-11 21:52:54, 2018-07-11 21:54:41,1,54, WPA2, CCMP TKIP,PSK,-92,3,0,   0.  0.  0.  0,11, electrinet2,CAP11
30:91:8F:09:86:D5, 2018-07-11 21:52:07, 2018-07-11 21:54:13,11,54, WPA2WPA , CCMP TKIP,PSK,-86,4,0,   0.  0.  0.  0,10, WIFI_LAVET,CAP11
82:2A:A8:A1:76:3F, 2018-07-11 21:52:06, 2018-07-11 21:54:12,6,54, WPA2, CCMP,PSK,-86,5,0,   0.  0.  0.  0,14, PUNTO CREATIVO,CAP11
22:26:18:52:1A:0B, 2018-07-11 21:52:20, 2018-07-11 21:54:12,1,54, WPA , CCMP TKIP,PSK,-91,8,0,   0.  0.  0.  0,11, Telsur_CRPS,CAP11
B0:5A:DA:24:CF:C5, 2018-07-11 21:52:06, 2018-07-11 21:53:43,1,54, WPA2, CCMP,PSK,-86,2,0,   0.  0.  0.  0,32, DIRECT-C3-HP DeskJet 4670 series,CAP11
4C:6E:6E:98:FB:4A, 2018-07-11 21:52:06, 2018-07-11 21:53:23,1,54, WPA2, CCMP TKIP,PSK,-91,3,0,   0.  0.  0.  0,17, WifiTelsur_CASAAB,CAP11
6A:02:71:7A:90:52, 2018-07-11 21:52:20, 2018-07-11 21:52:54,2,54, WPA2WPA , CCMP,PSK,-88,3,0,   0.  0.  0.  0,15, WifiTelsur_MAVM,CAP11
E0:69:95:80:5F:B6, 2018-07-11 21:52:07, 2018-07-11 21:53:38,7,54, WPA , TKIP,PSK,-86,4,0,   0.  0.  0.  0,8, Molegavi,CAP11
4C:6E:6E:9B:3B:89, 2018-07-11 21:52:56, 2018-07-11 21:54:27,11,54, WPA2, CCMP TKIP,PSK,-90,5,0,   0.  0.  0.  0,16, WifiTelsur_HHBY2,CAP11
7C:1C:68:BF:4D:D0, 2018-07-11 21:52:06, 2018-07-11 21:54:26,1,54, OPN ,       ,   ,-82,10,0,   0.  0.  0.  0,10, Yordiytabi,CAP11
38:60:77:0C:7D:1D, 2018-07-11 21:52:07, 2018-07-11 21:54:47,9,54, WPA2, CCMP TKIP,PSK,-92,3,0,   0.  0.  0.  0,5, NEWEN,CAP11
