Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;WSE;38:FF:36:0E:DE:38;;6;No;WPA2,AES-CCM;No;54.0;0;2;0;0;0;0;0;;;Wed Jul 11 21:45:20 2018;Wed Jul 11 21:45:20 2018;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;WifiTelsur_HHBY2;4C:6E:6E:9B:3B:89;;11;No;WPA2,AES-CCM,TKIP;No;54.0;0;13;0;0;0;0;0;;;Wed Jul 11 21:43:09 2018;Wed Jul 11 21:45:20 2018;-90;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;wifitelsur_cabana25G;4C:6E:6E:99:D0:55;;36;No;WPA2,AES-CCM,TKIP;No;54.0;0;10;0;0;0;0;0;;;Wed Jul 11 21:42:26 2018;Wed Jul 11 21:45:01 2018;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;ANTONIA;4C:72:B9:30:91:F1;;9;No;WPA2,AES-CCM,TKIP;No;54.0;0;3;0;0;0;0;0;;;Wed Jul 11 21:43:57 2018;Wed Jul 11 21:45:00 2018;-88;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;Wifi_DNRV;00:25:C4:4C:53:21;;11;No;WPA,TKIP;No;54.0;0;3;0;0;0;0;0;;;Wed Jul 11 21:43:58 2018;Wed Jul 11 21:44:32 2018;-91;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;Soc-Montory;72:02:71:5E:53:62;;6;No;WPA2,AES-CCM;No;54.0;0;4;0;0;0;0;0;;;Wed Jul 11 21:42:25 2018;Wed Jul 11 21:44:13 2018;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;NEWEN;38:60:77:0C:7D:1D;;9;No;WPA2,AES-CCM,TKIP;No;54.0;0;3;0;0;0;0;0;;;Wed Jul 11 21:44:31 2018;Wed Jul 11 21:45:34 2018;-93;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;WifiTelsur_DP;62:02:71:5A:BF:57;;2;No;WPA2,WPA,AES-CCM;No;54.0;0;3;0;0;0;0;0;;;Wed Jul 11 21:42:53 2018;Wed Jul 11 21:45:48 2018;-92;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;RUSSELL.;00:1D:D4:C1:4D:3C;;10;No;WPA,AES-CCM;No;54.0;0;7;0;0;0;0;0;;;Wed Jul 11 21:43:29 2018;Wed Jul 11 21:45:35 2018;-91;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;RPENZO;A4:15:88:2D:AB:40;;9;No;WPA2,AES-CCM;No;54.0;0;3;0;0;0;0;0;;;Wed Jul 11 21:42:40 2018;Wed Jul 11 21:45:34 2018;-90;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
11;infrastructure;wifitelsur_cabana1;62:02:71:77:DE:8D;;9;No;WPA2,WPA,AES-CCM;No;54.0;0;5;0;0;0;0;0;;;Wed Jul 11 21:44:13 2018;Wed Jul 11 21:45:49 2018;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
12;infrastructure;Telsur_CRPS;22:26:18:52:1A:0B;;1;No;WPA,AES-CCM,TKIP;No;54.0;0;10;0;0;0;0;0;;;Wed Jul 11 21:43:08 2018;Wed Jul 11 21:45:48 2018;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
13;infrastructure;TP-LINK_3B65E8;7C:8B:CA:3B:65:E8;;11;No;WPA2,AES-CCM,TKIP;No;54.0;0;9;0;0;0;0;0;;;Wed Jul 11 21:42:40 2018;Wed Jul 11 21:45:49 2018;-88;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
14;infrastructure;wifitelsur_MANP;62:02:71:60:CD:5A;;9;No;WPA2,AES-CCM;No;54.0;0;11;0;0;0;0;0;;;Wed Jul 11 21:42:40 2018;Wed Jul 11 21:45:49 2018;-88;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
15;infrastructure;Wiftelsur_AgustinA;E2:55:C4:65:FF:E4;;1;No;WPA2,AES-CCM,TKIP;No;54.0;0;6;0;0;0;0;0;;;Wed Jul 11 21:43:08 2018;Wed Jul 11 21:45:33 2018;-88;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
16;infrastructure;VTR-0668433;48:D3:43:60:FD:81;;1;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;4;0;0;0;0;0;;;Wed Jul 11 21:43:42 2018;Wed Jul 11 21:45:33 2018;-88;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
17;infrastructure;DIRECT-4409EB01;46:D2:44:09:6B:01;;1;No;WPA2,AES-CCM;No;54.0;0;8;0;0;0;0;0;;;Wed Jul 11 21:42:24 2018;Wed Jul 11 21:45:33 2018;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
18;infrastructure;wifitelsur_cabana2;4C:6E:6E:99:D0:54;;3;No;WPA2,AES-CCM,TKIP;No;54.0;0;12;0;0;0;0;0;;;Wed Jul 11 21:42:39 2018;Wed Jul 11 21:45:48 2018;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
19;infrastructure;ISIDORA;84:AA:9C:6F:80:18;;11;No;WPA2,AES-CCM;No;54.0;0;27;0;0;0;0;0;;;Wed Jul 11 21:42:26 2018;Wed Jul 11 21:45:49 2018;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
20;infrastructure;PUNTO CREATIVO;82:2A:A8:A1:76:3F;;6;No;WPA2,AES-CCM;No;54.0;0;20;0;0;0;0;0;;;Wed Jul 11 21:42:25 2018;Wed Jul 11 21:45:48 2018;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
21;infrastructure;mamá te amo;A8:0C:63:C4:2B:89;;6;No;WPA2,AES-CCM;No;54.0;0;2;0;0;0;0;0;;;Wed Jul 11 21:45:48 2018;Wed Jul 11 21:45:48 2018;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
22;infrastructure;Punto Creativo visitas;92:2A:A8:A1:76:3F;;6;No;OPN,None;No;54.0;0;16;0;0;0;0;0;;;Wed Jul 11 21:42:25 2018;Wed Jul 11 21:45:49 2018;-80;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
23;infrastructure;CLINICA;62:02:71:67:C8:9C;;9;No;WPA2,WPA,AES-CCM;No;54.0;0;7;0;0;0;0;0;;;Wed Jul 11 21:42:40 2018;Wed Jul 11 21:45:49 2018;-80;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
24;infrastructure;wifi_meb;C8:3A:35:2B:C7:D0;;5;No;WPA,AES-CCM;No;54.0;0;24;0;0;0;0;0;;;Wed Jul 11 21:42:25 2018;Wed Jul 11 21:45:49 2018;-79;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
