,,,,,,,,,,,,,,
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID,FILE
64:70:02:64:D4:AF, 2018-07-11 21:27:25, 2018-07-11 21:29:31,6,54, WPA2WPA , CCMP TKIP,PSK,-65,0,0,   0.  0.  0.  0,8, WIFI-SSV,CAP6
C8:3A:35:2B:C7:D0, 2018-07-11 21:26:40, 2018-07-11 21:29:29,5,54, WPA , CCMP,PSK,-86,16,0,   0.  0.  0.  0,8, wifi_meb,CAP6
4C:6E:6E:91:86:79, 2018-07-11 21:27:23, 2018-07-11 21:29:29,1,54, WPA2, CCMP TKIP,PSK,-87,8,0,   0.  0.  0.  0,11, electrinet2,CAP6
00:13:92:4C:49:C5, 2018-07-11 21:27:24, 2018-07-11 21:29:30,11,54, WEP , WEP,   ,-88,6,0,   0.  0.  0.  0,14, Wifitelsur_AOF,CAP6
48:D3:43:87:D9:81, 2018-07-11 21:26:39, 2018-07-11 21:29:00,1,54, WPA2WPA , CCMP TKIP,PSK,-88,4,0,   0.  0.  0.  0,11, VTR-0149588,CAP6
B0:C1:9E:3E:58:44, 2018-07-11 21:27:29, 2018-07-11 21:29:01,7,54, WPA2, CCMP,PSK,-89,5,0,   0.  0.  0.  0,10, WOM-3E5844,CAP6
10:62:EB:23:0B:03, 2018-07-11 21:26:40, 2018-07-11 21:29:00,2,54, WPA2, CCMP TKIP,PSK,-91,4,0,   0.  0.  0.  0,11, WLAN23MMDVM,CAP6
4C:6E:6E:A4:3F:DD, 2018-07-11 21:28:47, 2018-07-11 21:28:47,11,54, WPA2, CCMP TKIP,PSK,-92,2,0,   0.  0.  0.  0,15, Telsur_Victimas,CAP6
48:D3:43:0E:3F:D9, 2018-07-11 21:27:28, 2018-07-11 21:27:57,1,54, WPA2WPA , CCMP TKIP,PSK,-90,2,0,   0.  0.  0.  0,11, VTR-9224926,CAP6
62:02:71:7B:FA:51, 2018-07-11 21:26:40, 2018-07-11 21:28:32,9,54, WPA2WPA , CCMP,PSK,-90,2,0,   0.  0.  0.  0,15, WifiTelsur_NOMA,CAP6
84:C9:B2:0A:63:A4, 2018-07-11 21:28:26, 2018-07-11 21:28:32,6,54, WPA2, CCMP TKIP,PSK,-82,2,0,   0.  0.  0.  0,11, RN VALDIVIA,CAP6
00:25:C4:53:0A:11, 2018-07-11 21:26:40, 2018-07-11 21:28:46,6,54, WEP , WEP,   ,-90,2,0,   0.  0.  0.  0,16, wifitelsur_AYGSM,CAP6
00:18:39:46:33:D9, 2018-07-11 21:27:25, 2018-07-11 21:28:46,6,54, WPA , TKIP,PSK,-88,1,0,   0.  0.  0.  0,18, Melillanca 151-156,CAP6
92:2A:A8:A1:76:3F, 2018-07-11 21:27:09, 2018-07-11 21:29:15,6,54, OPN ,       ,   ,-85,8,0,   0.  0.  0.  0,22, Punto Creativo visitas,CAP6
48:D3:43:0E:3E:69, 2018-07-11 21:26:40, 2018-07-11 21:29:15,6,54, WPA2WPA , CCMP TKIP,PSK,-83,28,0,   0.  0.  0.  0,11, VTR-5833663,CAP6
00:1D:D4:C1:4D:3C, 2018-07-11 21:26:41, 2018-07-11 21:29:50,10,54, WPA , CCMP,PSK,-90,5,0,   0.  0.  0.  0,8, RUSSELL.,CAP6
00:18:39:71:F8:8E, 2018-07-11 21:26:54, 2018-07-11 21:29:49,6,54, WPA , TKIP,PSK,-89,5,0,   0.  0.  0.  0,18, Melillanca 210-220,CAP6
00:1D:7E:C2:BF:E0, 2018-07-11 21:26:54, 2018-07-11 21:29:49,6,54, WPA , TKIP,PSK,-89,6,0,   0.  0.  0.  0,18, Melillanca 451-459,CAP6
00:13:92:0C:49:C5, 2018-07-11 21:27:29, 2018-07-11 21:29:50,11,54, WPA , TKIP,PSK,-88,9,0,   0.  0.  0.  0,0, ,CAP6
A0:10:81:B3:11:3C, 2018-07-11 21:26:55, 2018-07-11 21:29:50,11,54, WPA2, CCMP,PSK,-88,11,0,   0.  0.  0.  0,9, AndroidAP,CAP6
68:72:51:5E:70:8B, 2018-07-11 21:26:55, 2018-07-11 21:29:50,13,54, WPA2, CCMP,PSK,-88,18,0,   0.  0.  0.  0,12, Melillanca 3,CAP6
4C:6E:6E:98:08:90, 2018-07-11 21:27:10, 2018-07-11 21:29:50,36,54, WPA2, CCMP TKIP,PSK,-87,11,0,   0.  0.  0.  0,17, Puerto canelos_5G,CAP6
60:83:34:0F:C7:95, 2018-07-11 21:26:41, 2018-07-11 21:29:50,11,54, WPA2, CCMP,PSK,-87,12,0,   0.  0.  0.  0,14, ,CAP6
00:07:26:16:89:1B, 2018-07-11 21:26:40, 2018-07-11 21:29:49,8,54, WPA2WPA , CCMP,PSK,-87,17,0,   0.  0.  0.  0,16, la_cava_del_buho,CAP6
D4:6E:0E:48:E4:74, 2018-07-11 21:26:55, 2018-07-11 21:29:49,8,54, WPA2WPA , CCMP TKIP,PSK,-86,12,0,   0.  0.  0.  0,6, NISSAN,CAP6
D4:68:4D:24:5C:D8, 2018-07-11 21:26:39, 2018-07-11 21:29:48,1,54, OPN ,       ,   ,-85,7,0,   0.  0.  0.  0,7, Alumnos,CAP6
00:14:A5:C5:94:C9, 2018-07-11 21:26:54, 2018-07-11 21:29:49,4,54, WPA , TKIP,PSK,-85,15,0,   0.  0.  0.  0,21, FamiliaRosasBahamonde,CAP6
00:25:9C:AE:47:33, 2018-07-11 21:26:40, 2018-07-11 21:29:49,6,54, WPA , TKIP,PSK,-85,16,0,   0.  0.  0.  0,17, linksys_SES_18127,CAP6
34:57:60:7B:79:A8, 2018-07-11 21:29:01, 2018-07-11 21:29:35,11,54, WPA2, CCMP,PSK,-85,4,0,   0.  0.  0.  0,6, CAIMAN,CAP6
40:0D:10:CF:82:31, 2018-07-11 21:26:39, 2018-07-11 21:29:48,1,54, WPA2WPA , CCMP TKIP,PSK,-85,20,0,   0.  0.  0.  0,11, VTR-2972846,CAP6
A4:15:88:D6:FF:60, 2018-07-11 21:26:40, 2018-07-11 21:29:49,6,54, WPA2, CCMP,PSK,-84,16,0,   0.  0.  0.  0,12, Buscando....,CAP6
C8:D7:B0:57:7E:9D, 2018-07-11 21:28:46, 2018-07-11 21:29:49,6,54, OPN ,       ,   ,-84,5,0,   0.  0.  0.  0,17, MOVISTAR WIFI3279,CAP6
D4:68:4D:24:5C:D9, 2018-07-11 21:27:08, 2018-07-11 21:29:34,1,54, WPA2, CCMP,PSK,-84,4,0,   0.  0.  0.  0,3, PDV,CAP6
48:F8:B3:22:4D:66, 2018-07-11 21:27:09, 2018-07-11 21:29:49,6,54, OPN ,       ,   ,-83,15,0,   0.  0.  0.  0,11, ,CAP6
FC:3F:DB:78:7B:49, 2018-07-11 21:26:40, 2018-07-11 21:29:35,6,54, WPA2, CCMP,PSK,-82,19,0,   0.  0.  0.  0,30, HP-Print-49-Officejet Pro 8620,CAP6
4C:6E:6E:A4:30:AD, 2018-07-11 21:26:55, 2018-07-11 21:29:50,11,54, WPA2, CCMP TKIP,PSK,-82,23,0,   0.  0.  0.  0,11, Telsur_WIFI,CAP6
6A:D3:43:0E:3E:69, 2018-07-11 21:26:40, 2018-07-11 21:29:49,6,54, WPA2, CCMP,PSK,-81,13,0,   0.  0.  0.  0,17, Invitados Robledo,CAP6
84:B5:17:3D:A0:7E, 2018-07-11 21:26:44, 2018-07-11 21:29:53,-1,54, OPN ,       ,   ,-77,16,0,   0.  0.  0.  0,6, Visita,CAP6
92:C7:D8:8D:7E:AA, 2018-07-11 21:26:41, 2018-07-11 21:29:50,11,54, WPA2, CCMP,PSK,-78,16,0,   0.  0.  0.  0,17, Your mom is gorda,CAP6
84:B5:17:3D:A0:7F, 2018-07-11 21:26:44, 2018-07-11 21:29:53,-1,54, WPA2, CCMP,PSK,-77,14,0,   0.  0.  0.  0,11, Funcionario,CAP6
4C:6E:6E:98:08:8F, 2018-07-11 21:26:40, 2018-07-11 21:29:49,3,54, WPA2, CCMP TKIP,PSK,-76,26,0,   0.  0.  0.  0,15, canelos CLIENTE,CAP6
4E:6E:6E:98:08:8F, 2018-07-11 21:26:40, 2018-07-11 21:29:49,3,54, WPA2, CCMP,PSK,-76,28,0,   0.  0.  0.  0,4, Home,CAP6
EC:1F:72:08:3E:0E, 2018-07-11 21:29:31, 2018-07-11 21:29:35,6,54, WPA2, CCMP,PSK,-74,2,0,   0.  0.  0.  0,12, xiaomi 2.4G2,CAP6
00:27:22:3E:BB:D7, 2018-07-11 21:26:40, 2018-07-11 21:29:49,1,54, WPA2, CCMP TKIP,PSK,-73,22,0,   0.  0.  0.  0,11, Melillanca1,CAP6
84:B5:17:3D:A0:70, 2018-07-11 21:26:40, 2018-07-11 21:29:48,1,54, WPA2, CCMP,PSK,-72,19,0,   0.  0.  0.  0,11, Funcionario,CAP6
84:B5:17:3D:A0:71, 2018-07-11 21:26:54, 2018-07-11 21:29:49,1,54, OPN ,       ,   ,-71,23,0,   0.  0.  0.  0,6, Visita,CAP6
38:FF:36:0E:DE:3C, 2018-07-11 21:26:41, 2018-07-11 21:29:50,44,54, WPA2, CCMP,PSK,-71,19,0,   0.  0.  0.  0,3, WSE,CAP6
