,,,,,,,,,,,,,,
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID,FILE
4C:6E:6E:A8:43:4D, 2018-07-11 21:08:44, 2018-07-11 21:10:53,1,54, WPA2, CCMP TKIP,PSK,-84,12,0,   0.  0.  0.  0,19, wifitelsur_lacasita,CAP2
00:1F:1F:F7:10:60, 2018-07-11 21:10:43, 2018-07-11 21:10:53,1,54, WPA , TKIP,PSK,-88,2,0,   0.  0.  0.  0,4, VDR3,CAP2
A4:15:88:2D:AB:40, 2018-07-11 21:08:41, 2018-07-11 21:10:54,9,54, WPA2, CCMP,PSK,-89,7,0,   0.  0.  0.  0,6, RPENZO,CAP2
30:91:8F:09:86:D5, 2018-07-11 21:08:41, 2018-07-11 21:10:45,11,54, WPA2WPA , CCMP TKIP,PSK,-73,2,0,   0.  0.  0.  0,10, WIFI_LAVET,CAP2
E8:DE:27:6F:E5:F9, 2018-07-11 21:09:33, 2018-07-11 21:10:45,11,54, WPA2, CCMP TKIP,PSK,-86,3,0,   0.  0.  0.  0,15, Wifi_SEREMI_XIV,CAP2
D0:C7:89:CD:C8:E1, 2018-07-11 21:10:00, 2018-07-11 21:10:44,1,54, WPA2, CCMP, MGT,-88,3,0,   0.  0.  0.  0,18, UNOSALUD-COMERCIAL,CAP2
86:2A:A8:A1:F3:E0, 2018-07-11 21:09:32, 2018-07-11 21:10:44,1,54, WPA2, CCMP,PSK,-89,4,0,   0.  0.  0.  0,7, WifiFes,CAP2
50:17:FF:F4:21:65, 2018-07-11 21:09:46, 2018-07-11 21:10:44,1,54, WPA2, CCMP,PSK,-92,2,0,   0.  0.  0.  0,14, CLIENTES_HERTZ,CAP2
A4:15:88:E4:5E:70, 2018-07-11 21:08:59, 2018-07-11 21:10:15,6,54, WPA2, CCMP,PSK,-87,3,0,   0.  0.  0.  0,8, VIRGINIA,CAP2
00:25:C4:4C:1B:01, 2018-07-11 21:08:18, 2018-07-11 21:09:32,1,54, WEP , WEP,   ,-89,3,0,   0.  0.  0.  0,22, wifitelsur_MAXIMILIANO,CAP2
7C:1C:68:BF:4D:D0, 2018-07-11 21:09:13, 2018-07-11 21:09:17,1,54, OPN ,       ,   ,-88,2,0,   0.  0.  0.  0,10, Yordiytabi,CAP2
00:25:C4:17:69:A1, 2018-07-11 21:09:32, 2018-07-11 21:09:47,6,54, WEP , WEP,   ,-91,3,0,   0.  0.  0.  0,11, Red_Interna,CAP2
4C:6E:6E:98:08:8F, 2018-07-11 21:09:32, 2018-07-11 21:09:46,3,54, WPA2, CCMP TKIP,PSK,-89,2,0,   0.  0.  0.  0,15, canelos CLIENTE,CAP2
4E:6E:6E:98:08:8F, 2018-07-11 21:09:32, 2018-07-11 21:09:46,3,54, WPA2, CCMP,PSK,-87,2,0,   0.  0.  0.  0,4, Home,CAP2
70:18:8B:A1:2C:63, 2018-07-11 21:09:00, 2018-07-11 21:10:30,11,54, OPN ,       ,   ,-89,4,0,   0.  0.  0.  0,25, HP-Print-63-LaserJet 1102,CAP2
D0:C7:89:CD:C8:E3, 2018-07-11 21:10:15, 2018-07-11 21:10:29,1,54, OPN ,       ,   ,-88,2,0,   0.  0.  0.  0,1, ,CAP2
40:0D:10:A4:45:59, 2018-07-11 21:08:41, 2018-07-11 21:10:50,1,54, WPA2WPA , CCMP TKIP,PSK,-84,10,0,   0.  0.  0.  0,11, VTR-7448158,CAP2
