,,,,,,,,,,,,,,
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID,FILE
8A:8A:20:57:E6:62, 2018-07-11 21:31:06, 2018-07-11 21:35:03,1,54, WPA2, CCMP,PSK,-92,3,0,   0.  0.  0.  0,13, Eventos Hotel,CAP7
78:8A:20:57:E6:62, 2018-07-11 21:31:06, 2018-07-11 21:35:03,1,54, OPN ,       ,   ,-90,5,0,   0.  0.  0.  0,8, Eventos1,CAP7
44:32:C8:A3:71:8D, 2018-07-11 21:31:07, 2018-07-11 21:35:05,11,54, WPA , CCMP,PSK,-90,6,0,   0.  0.  0.  0,4,  JVC,CAP7
00:1F:9F:8A:FC:89, 2018-07-11 21:34:15, 2018-07-11 21:35:03,1,54, WEP , WEP,   ,-90,2,0,   0.  0.  0.  0,14, Wifi_Telsur_EM,CAP7
58:EF:68:B7:B2:06, 2018-07-11 21:31:42, 2018-07-11 21:34:51,36,54, WPA2, CCMP TKIP,PSK,-89,2,0,   0.  0.  0.  0,10, Cerec_5GHz,CAP7
10:62:EB:23:0B:03, 2018-07-11 21:31:40, 2018-07-11 21:35:04,2,54, WPA2, CCMP TKIP,PSK,-87,15,0,   0.  0.  0.  0,11, WLAN23MMDVM,CAP7
00:07:26:16:89:1B, 2018-07-11 21:31:07, 2018-07-11 21:35:04,8,54, WPA2WPA , CCMP,PSK,-87,19,0,   0.  0.  0.  0,16, la_cava_del_buho,CAP7
A0:10:81:B3:11:3C, 2018-07-11 21:32:40, 2018-07-11 21:35:05,11,54, WPA2, CCMP,PSK,-86,4,0,   0.  0.  0.  0,9, AndroidAP,CAP7
4C:6E:6E:9B:3B:8A, 2018-07-11 21:31:36, 2018-07-11 21:35:05,36,54, WPA2, CCMP TKIP,PSK,-86,9,0,   0.  0.  0.  0,19, WifiTelsur_5G_HHBY2,CAP7
6A:02:71:4B:C8:A9, 2018-07-11 21:31:35, 2018-07-11 21:35:03,1,54, WPA2WPA , CCMP,PSK,-85,12,0,   0.  0.  0.  0,15, wifitelsur_LJSC,CAP7
4C:6E:6E:9B:3B:89, 2018-07-11 21:31:07, 2018-07-11 21:35:05,11,54, WPA2, CCMP TKIP,PSK,-85,23,0,   0.  0.  0.  0,16, WifiTelsur_HHBY2,CAP7
4C:6E:6E:91:8E:7B, 2018-07-11 21:31:06, 2018-07-11 21:35:04,1,54, WPA2, CCMP TKIP,PSK,-84,5,0,   0.  0.  0.  0,13, 404_Not_Found,CAP7
4C:6E:6E:98:08:8F, 2018-07-11 21:31:06, 2018-07-11 21:35:04,3,54, WPA2, CCMP TKIP,PSK,-84,25,0,   0.  0.  0.  0,15, canelos CLIENTE,CAP7
00:27:22:3E:BB:D7, 2018-07-11 21:31:06, 2018-07-11 21:35:03,1,54, WPA2, CCMP TKIP,PSK,-82,19,0,   0.  0.  0.  0,11, Melillanca1,CAP7
